Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (xli2), Experimental  Coincident Index (XCI),
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Recession Index-2 (XRI-2).
Data are monthly


Last Updated:  8/28/00

     date         XRI       XLI       XCI      XLI-2     XRI-2
     1993:09       0.01       4.2      185.7     4.9       0.10 
     1993:10       0.01       4.1      186.3     3.8       0.11 
     1993:11       0.01       4.3      187.1     4.6       0.10 
     1993:12       0.01       4.9      188.1     5.0       0.09 
     1994:01       0.01       4.7      188.2     2.8       0.14 
     1994:02       0.01       4.6      188.7     1.7       0.18 
     1994:03       0.01       4.8      190.6     3.3       0.12 
     1994:04       0.03       4.2      191.4     4.5       0.10 
     1994:05       0.05       3.3      192.5     4.4       0.10 
     1994:06       0.05       2.9      193.0     3.8       0.12 
     1994:07       0.04       2.7      193.4     2.3       0.13 
     1994:08       0.03       3.2      194.4     4.0       0.11 
     1994:09       0.03       3.9      195.0     3.3       0.11 
     1994:10       0.04       3.3      196.2     3.4       0.12 
     1994:11       0.12       1.9      196.8     3.8       0.13 
     1994:12       0.06       2.3      198.2     4.0       0.12 
     1995:01       0.05       1.9      199.1     3.1       0.15 
     1995:02       0.06       1.5      198.9     1.4       0.18 
     1995:03       0.08       1.8      198.9     1.0       0.17 
     1995:04       0.07       2.9      198.5     1.6       0.15 
     1995:05       0.06       3.2      198.7     2.9       0.12 
     1995:06       0.03       3.6      199.6     2.2       0.12 
     1995:07       0.03       3.7      199.6     3.1       0.11 
     1995:08       0.03       3.4      200.9     5.2       0.09 
     1995:09       0.04       2.8      201.4     4.6       0.10 
     1995:10       0.04       2.2      201.5     3.6       0.10 
     1995:11       0.04       2.8      202.1     4.0       0.08 
     1995:12       0.03       3.5      202.5     3.0       0.09 
     1996:01       0.02       4.2      200.7     3.9       0.12 
     1996:02       0.02       4.8      202.8     3.6       0.11 
     1996:03       0.04       3.3      203.4     2.9       0.10 
