"","FirstDate","quarter","group","punew_year","puxhs_year","puxx_year","pce_year"
"142",1987-07-01,1987 Q3,1987,0.038517972435675,0.0382560311555367,0.0387812492921104,0.0344372385769047
"143",1987-10-01,1987 Q4,1987,0.0426352316444358,0.0434457465104539,0.0408915573180988,0.0370031938492578
"144",1988-01-01,1988 Q1,1988,0.0404628636131808,0.0367589570304953,0.0422360072750407,0.0354588864020824
"145",1988-04-01,1988 Q2,1988,0.0391524560971815,0.0354647095722826,0.0417422870336967,0.0368513372037125
"146",1988-07-01,1988 Q3,1988,0.0404704388829553,0.0377072290999311,0.043826774039249,0.0396874549129638
"147",1988-10-01,1988 Q4,1988,0.0417259336702186,0.0407865643089101,0.044088772984649,0.0411493319026404
"148",1989-01-01,1989 Q1,1989,0.0438518825288494,0.0455992974096854,0.0452785505468277,0.0447419194832789
"149",1989-04-01,1989 Q2,1989,0.0491151560474954,0.052599061711275,0.0439894992503076,0.0471541376700503
"150",1989-07-01,1989 Q3,1989,0.0493927553295763,0.0495275366988481,0.0443110463249109,0.0408017059295435
"151",1989-10-01,1989 Q4,1989,0.0448505661653517,0.0440819811074627,0.0422267581763324,0.0386087224637609
"152",1990-01-01,1990 Q1,1990,0.0506742909632668,0.0508306137761291,0.0433169033607046,0.0415847699822591
"153",1990-04-01,1990 Q2,1990,0.046039876754734,0.0436609361160158,0.0473732580074769,0.0372238206367332
"154",1990-07-01,1990 Q3,1990,0.0470675108579858,0.0448433819218345,0.0498216237760945,0.0439563916318684
"155",1990-10-01,1990 Q4,1990,0.0618435052827031,0.0638263066291621,0.0522117086569126,0.0492362082464742
"156",1991-01-01,1991 Q1,1991,0.0549337188178373,0.0552025099447203,0.0545053897331408,0.0400386812968246
"157",1991-04-01,1991 Q2,1991,0.0469783350210114,0.0463761617901509,0.0502106189537233,0.0364242239474721
"158",1991-07-01,1991 Q3,1991,0.0427511669526638,0.0444177148018108,0.0467542899712109,0.030550238007705
"159",1991-10-01,1991 Q4,1991,0.0280875818102613,0.0256231048878979,0.0433768675857357,0.0246277108503809
"160",1992-01-01,1992 Q1,1992,0.0263751552543945,0.0231786077591568,0.0393585586287217,0.0256322958719506
"161",1992-04-01,1992 Q2,1992,0.0313322533602705,0.0297641019064539,0.037608889121444,0.0268251869349641
"162",1992-07-01,1992 Q3,1992,0.0310830950583887,0.0295224392663218,0.0365684070705653,0.0264269406958024
"163",1992-10-01,1992 Q4,1992,0.0322724314048499,0.0314928992317367,0.0348753293140125,0.0261612022273577
"164",1993-01-01,1993 Q1,1993,0.0320198112347712,0.0320027310861738,0.0338785787492741,0.0258766580097011
"165",1993-04-01,1993 Q2,1993,0.0310759469605226,0.0310382187109818,0.0342660329772697,0.0259547971467648
"166",1993-07-01,1993 Q3,1993,0.0280720187786861,0.027261372583856,0.0313463477347441,0.0239369619565108
"167",1993-10-01,1993 Q4,1993,0.0271509890659506,0.0270286723879196,0.0304457665341643,0.0227357938421812
"168",1994-01-01,1994 Q1,1994,0.0242142581205945,0.0240464202994892,0.0288923576983839,0.0203544743092348
"169",1994-04-01,1994 Q2,1994,0.0233687610078293,0.0217934811666031,0.0267203906159403,0.0192224061095089
"170",1994-07-01,1994 Q3,1994,0.0266318231807933,0.0265378701996603,0.0284808894608587,0.0220419689296672
"171",1994-10-01,1994 Q4,1994,0.0257641369361315,0.0235794558200347,0.0282795194786178,0.0209758300241133
"172",1995-01-01,1995 Q1,1995,0.0283037761628516,0.026888900216331,0.028710105882431,0.0223008377258581
"173",1995-04-01,1995 Q2,1995,0.0307716586667537,0.0301392675750399,0.031024963813125,0.0225333427717807
"174",1995-07-01,1995 Q3,1995,0.0279087881170762,0.0251799625088494,0.0295526064738731,0.019463127858776
"175",1995-10-01,1995 Q4,1995,0.0270732943285347,0.0250436100116369,0.0305796058132179,0.0191530801975935
"176",1996-01-01,1996 Q1,1996,0.0275246733900898,0.0241947285870568,0.0291312821568575,0.0198043768493876
"177",1996-04-01,1996 Q2,1996,0.0279329625598566,0.0259754864032607,0.0258475928105551,0.0206763143761992
"178",1996-07-01,1996 Q3,1996,0.0284256864979515,0.0265267543334287,0.0262931685966687,0.0208380337856924
"179",1996-10-01,1996 Q4,1996,0.0301594883063016,0.0296366767856932,0.0248874756996544,0.0232577047275302
"180",1997-01-01,1997 Q1,1997,0.0299290087770943,0.0307314147888484,0.0247373096560167,0.0221329314714279
"181",1997-04-01,1997 Q2,1997,0.0240517923185223,0.0221075323540419,0.025788535570785,0.0179698838992629
"182",1997-07-01,1997 Q3,1997,0.0214248900841061,0.0188012021075325,0.0238532478076632,0.0163491380015298
"183",1997-10-01,1997 Q4,1997,0.0206450873291576,0.016731407035905,0.0225261451329321,0.0126956915082026
"184",1998-01-01,1998 Q1,1998,0.0161795688762693,0.00961237776166617,0.022393393020756,0.0083643280382763
"185",1998-04-01,1998 Q2,1998,0.0142815218414037,0.0070490519374138,0.0210904126576599,0.00765201409801368
"186",1998-07-01,1998 Q3,1998,0.0173057470975922,0.0108592571433502,0.0221454271467332,0.00809652374452442
"187",1998-10-01,1998 Q4,1998,0.0147513430870727,0.00636134460701756,0.0220298764173005,0.00758006334539188
"188",1999-01-01,1999 Q1,1999,0.0165293019512104,0.0107834854010278,0.0230424941471543,0.00944432306794663
"189",1999-04-01,1999 Q2,1999,0.0225550555150863,0.0189759014590057,0.0217898529324101,0.0133074480600965
"190",1999-07-01,1999 Q3,1999,0.0212193472267417,0.0182567236322047,0.020536945401874,0.0157081161432891
"191",1999-10-01,1999 Q4,1999,0.0253025546647858,0.0262843667145969,0.0209936788207367,0.0191432649816197
"192",2000-01-01,2000 Q1,2000,0.0275466519554951,0.0267678602511046,0.020851699410071,0.0252855873598656
"193",2000-04-01,2000 Q2,2000,0.0296933929251464,0.030239885189718,0.0224350408054471,0.0243973270812908
"194",2000-07-01,2000 Q3,2000,0.0353601953958846,0.0367463265833745,0.0245411089161177,0.0253604071351188
"195",2000-10-01,2000 Q4,2000,0.0339213809456676,0.0328097473091888,0.0249527778652523,0.0249538713148934
"196",2001-01-01,2001 Q1,2001,0.0365363920619266,0.0379678023360946,0.0253317509991883,0.0242754274907572
"197",2001-04-01,2001 Q2,2001,0.0316755534511456,0.0305321531523763,0.0262740893701802,0.0241878503369313
"198",2001-07-01,2001 Q3,2001,0.0268510847228463,0.0225931132029341,0.0266392485465855,0.0182555692796115
"199",2001-10-01,2001 Q4,2001,0.0210534091978321,0.0142435642474022,0.0259474016434538,0.0129965535580686
"200",2002-01-01,2002 Q1,2002,0.0118880539595893,-0.00118343209078022,0.0257663207642289,0.00758339014974775
"201",2002-04-01,2002 Q2,2002,0.0163062370383964,0.00529257336576859,0.0245476573615167,0.0102835796185717
"202",2002-07-01,2002 Q3,2002,0.0145497810147314,0.00527705710084367,0.0217572923152647,0.014927615018238
"203",2002-10-01,2002 Q4,2002,0.0200675630508094,0.0134623045732723,0.0216424388163787,0.0191835087882801
"204",1947-04-01,1947 Q2,1947,NA,NA,NA,NA
"205",1947-07-01,1947 Q3,1947,NA,NA,NA,NA
"206",1947-10-01,1947 Q4,1947,NA,NA,NA,NA
"207",1948-01-01,1948 Q1,1948,NA,0.10233871322891,NA,0.0619878930641671
"208",1948-04-01,1948 Q2,1948,NA,0.0806889112501425,NA,0.0644151017772096
"209",1948-07-01,1948 Q3,1948,NA,0.0953101798043245,NA,0.061135138217329
"210",1948-10-01,1948 Q4,1948,NA,0.0627656955497872,NA,0.0333970799620066
"211",1949-01-01,1949 Q1,1949,NA,0.0038835000263975,NA,0.0146141230774008
"212",1949-04-01,1949 Q2,1949,NA,-0.00388350002639775,NA,-0.00185312062054881
"213",1949-07-01,1949 Q3,1949,NA,-0.0386148361277796,NA,-0.0228549300872415
"214",1949-10-01,1949 Q4,1949,NA,-0.0387645434502443,NA,-0.0207319598986153
"215",1950-01-01,1950 Q1,1950,NA,-0.0275066457898335,NA,-0.0146954602607391
"216",1950-04-01,1950 Q2,1950,NA,-0.0196469973837964,NA,-0.0038784793285709
"217",1950-07-01,1950 Q3,1950,NA,0.0117418178766833,NA,0.0226170519590135
"218",1950-10-01,1950 Q4,1950,NA,0.0349550150335765,NA,0.0413544931853565
"219",1951-01-01,1951 Q1,1951,NA,0.0803491271642132,NA,0.07458428157797
"220",1951-04-01,1951 Q2,1951,NA,0.101782694309942,NA,0.0779979721532567
"221",1951-07-01,1951 Q3,1951,NA,0.0785450287954171,NA,0.058672818581024
"222",1951-10-01,1951 Q4,1951,NA,0.0700101655726488,NA,0.0540590206166836
"223",1952-01-01,1952 Q1,1952,NA,0.0431721718652085,NA,0.0268152518600813
"224",2003-01-01,2003 Q1,2003,NA,0.0257173729078059,0.0194180858571015,0.0248016789405744
"225",2003-04-01,2003 Q2,2003,NA,0.0208945500505718,0.0146522767868703,0.0184131318830275
"226",2003-07-01,2003 Q3,2003,NA,0.0179662902714834,0.0151083884524381,0.019832089225285
"227",2003-10-01,2003 Q4,2003,NA,0.0190043151137358,0.0129703504426274,0.0200723861797797
"228",2004-01-01,2004 Q1,2004,NA,0.0194291826040901,0.0113696315202985,0.0201366235645992
"229",2004-04-01,2004 Q2,2004,NA,0.019340762141327,0.0175081712226562,0.0258376130352673
"230",2004-07-01,2004 Q3,2004,NA,0.0294305338369438,0.0174274015989594,0.024183858445771
"231",2004-10-01,2004 Q4,2004,NA,0.0331026016816899,0.0199036935451922,0.0277933585050666
"232",2005-01-01,2005 Q1,2005,NA,0.0295533077511447,0.022358654972588,0.0259086701243255
"233",2005-04-01,2005 Q2,2005,NA,0.0365084793235616,0.0217125419306252,0.025517569401979
"234",2005-07-01,2005 Q3,2005,NA,0.0339945014364026,0.0206192872027357,0.0313492949912532
"235",2005-10-01,2005 Q4,2005,NA,0.052148337122823,0.0205058447926848,0.0307874370659001
"236",2006-01-01,2006 Q1,2006,NA,0.0456455074899602,0.0208858909798345,0.0301817164725703
"237",2006-04-01,2006 Q2,2006,NA,0.0394087203816684,0.0227170262842329,0.0326301871081909
"238",2006-07-01,2006 Q3,2006,NA,0.0427392927949867,0.0265241482563177,0.0290553919735584
"239",2006-10-01,2006 Q4,2006,NA,0.00157026988559883,0.0273454538905289,0.0194527627825933
"240",2007-01-01,2007 Q1,2007,NA,0.0102829072318786,0.0262278268623453,0.0233566554026571
"241",2007-04-01,2007 Q2,2007,NA,0.0191112502761298,0.0238681493383189,0.0230512166420461
"242",2007-07-01,2007 Q3,2007,NA,0.0169678319852699,0.0214503048951489,0.0215299961383689
"243",2007-10-01,2007 Q4,2007,NA,0.0372625290573497,0.0213362649835545,0.0333114871111602
"244",2008-01-01,2008 Q1,2008,NA,0.0477185457263897,0.0244868060384482,0.0323476479260049
"245",2008-04-01,2008 Q2,2008,NA,0.0438954193245712,0.0226873770296965,0.0336045470749479
"246",2008-07-01,2008 Q3,2008,NA,0.0672555713058071,0.0243346325453536,0.0385745164503316
"247",2008-10-01,2008 Q4,2008,NA,0.0436327278703708,0.021970501204799,0.0123533916054926
"248",2009-01-01,2009 Q1,2009,NA,-0.0104168645972314,0.0165852051636699,-0.00255963172345337
"249",2009-04-01,2009 Q2,2009,NA,-0.0164171097427149,0.0191389426152749,-0.00830150999180884
"250",2009-07-01,2009 Q3,2009,NA,-0.0336147440391317,0.01515556502129,-0.0120539140044738
"251",2009-10-01,2009 Q4,2009,NA,-0.00649444062774245,0.0169823125439218,0.011724067575689
